abbrev,active,apiIdentifier,derived,description,display,displayAbbrev,displayOrder,displaySortReversed,gamePlayedMarker,id,pointsScoringEligible,rotoScoringEligible,statCategoryId,statTypeId,statDerivation
PA,True,passing.passingAttempts,False,Each Pass Attempted,True,PA,7,False,False,0,True,False,0,0,
PC,True,passing.completions,False,Each Pass Completed,True,PC,8,False,False,1,True,False,0,0,
INC,True,,False,Each Incomplete Pass,True,INC,11,False,False,2,True,False,0,0,
PY,True,passing.passingYards,False,Passing Yards,True,PY,0,False,False,3,True,False,0,0,
PTD,True,passing.passingTouchdowns,False,TD Pass,True,PTD,14,False,False,4,True,False,0,0,
PY5,True,,False,Every 5 passing yards,True,PY5,1,False,False,5,True,False,0,0,
PY10,True,,False,Every 10 passing yards,True,PY10,2,False,False,6,True,False,0,0,
PY20,True,,False,Every 20 passing yards ,True,PY20,3,False,False,7,True,False,0,0,
PY25,True,,False,Every 25 passing yards ,True,PY25,4,False,False,8,True,False,0,0,
PY50,True,,False,Every 50 passing yards,True,PY50,5,False,False,9,True,False,0,0,
PY100,True,,False,Every 100 passing yards,True,PY100,6,False,False,10,True,False,0,0,
PC5,True,,False,Every 5 pass completions,True,PC5,9,False,False,11,True,False,0,0,
PC10,True,,False,Every 10 pass completions,True,PC10,10,False,False,12,True,False,0,0,
IP5,True,,False,Every 5 pass incompletions,True,IP5,12,False,False,13,True,False,0,0,
IP10,True,,False,Every 10 pass incompletions,True,IP10,13,False,False,14,True,False,0,0,
PTD40,True,,False,40+ yard TD pass bonus,True,PTD40,15,False,False,15,True,False,0,0,
PTD50,True,scoring.passingTouchdownsOf50PlusYds,False,50+ yard TD pass bonus,True,PTD50,16,False,False,16,True,False,0,0,
P300,True,,False,300-399 yard passing game,True,P300,20,False,False,17,True,False,0,0,
P400,True,,False,400+ yard passing game,True,P400,21,False,False,18,True,False,0,0,
2PC,True,passing.twoPtPass,False,2pt Passing Conversion,True,2PC,19,False,False,19,True,False,0,0,
INTT,True,passing.interceptions,False,Interceptions Thrown,True,INT,18,True,False,20,True,False,0,0,
CPCT,True,passing.completionPct,True,Passing Completion Pct,False,CPCT,155,False,False,21,False,False,0,0,"{'defaultInvalid': 0, 'derivedFromStats': {'a': 1, 'b': 0}, 'equation': 'a / b', 'invalidStatCheck': None, 'secondaryDefaultInvalid': None}"
PYPG,True,passing.passingYardsPerGame,True,Passing Yards Per Game,False,PYPG,156,False,False,22,False,False,0,0,"{'defaultInvalid': 0, 'derivedFromStats': {'a': 3, 'b': 210}, 'equation': 'a / b', 'invalidStatCheck': None, 'secondaryDefaultInvalid': None}"
RA,True,rushing.rushingAttempts,False,Rushing Attempts,True,RA,30,False,False,23,True,False,0,0,
RY,True,rushing.rushingYards,False,Rushing Yards,True,RY,23,False,False,24,True,False,0,0,
RTD,True,rushing.rushingTouchdowns,False,TD Rush,True,RTD,33,False,False,25,True,False,0,0,
2PR,True,rushing.twoPtRush,False,2pt Rushing Conversion,True,2PR,37,False,False,26,True,False,0,0,
RY5,True,,False,Every 5 rushing yards,True,RY5,24,False,False,27,True,False,0,0,
RY10,True,,False,Every 10 rushing yards,True,RY10,25,False,False,28,True,False,0,0,
RY20,True,,False,Every 20 rushing yards,True,RY20,26,False,False,29,True,False,0,0,
RY25,True,,False,Every 25 rushing yards ,True,RY25,27,False,False,30,True,False,0,0,
RY50,True,,False,Every 50 rushing yards,True,RY50,28,False,False,31,True,False,0,0,
R100,True,,False,Every 100 rushing yards,True,R100,29,False,False,32,True,False,0,0,
RA5,True,,False,Every 5 rush attempts,True,RA5,31,False,False,33,True,False,0,0,
RA10,True,,False,Every 10 rush attempts,True,RA10,32,False,False,34,True,False,0,0,
RTD40,True,,False,40+ yard TD rush bonus,True,RTD40,34,False,False,35,True,False,0,0,
RTD50,True,scoring.rushingTouchdownsOf50PlusYds,False,50+ yard TD rush bonus,True,RTD50,35,False,False,36,True,False,0,0,
RY100,True,,False,100-199 yard rushing game,True,RY100,38,False,False,37,True,False,0,0,
RY200,True,,False,200+ yard rushing game,True,RY200,39,False,False,38,True,False,0,0,
RYPA,True,rushing.yardsPerRushAttempt,True,Rushing Yards Per Attempt,False,RYPA,157,False,False,39,False,False,0,0,"{'defaultInvalid': 0, 'derivedFromStats': {'a': 24, 'b': 23}, 'equation': 'a / b', 'invalidStatCheck': None, 'secondaryDefaultInvalid': None}"
RYPG,True,rushing.rushingYardsPerGame,True,Rushing Yards Per Game,False,RYPG,158,False,False,40,False,False,0,0,"{'defaultInvalid': 0, 'derivedFromStats': {'a': 24, 'b': 210}, 'equation': 'a / b', 'invalidStatCheck': None, 'secondaryDefaultInvalid': None}"
RECS,True,,False,Receptions,False,REC,159,False,False,41,False,False,0,0,
REY,True,receiving.receivingYards,False,Receiving Yards,True,REY,40,False,False,42,True,False,0,0,
RETD,True,receiving.receivingTouchdowns,False,TD Reception,True,RETD,50,False,False,43,True,False,0,0,
2PRE,True,receiving.twoPtReception,False,2pt Receiving Conversion,True,2PRE,54,False,False,44,True,False,0,0,
RETD40,True,,False,40+ yard TD rec bonus,True,RETD40,51,False,False,45,True,False,0,0,
RETD50,True,scoring.receivingTouchdownsOf50PlusYds,False,50+ yard TD rec bonus,True,RETD50,52,False,False,46,True,False,0,0,
REY5,True,,False,Every 5 receiving yards,True,REY5,41,False,False,47,True,False,0,0,
REY10,True,,False,Every 10 receiving yards,True,REY10,42,False,False,48,True,False,0,0,
REY20,True,,False,Every 20 receiving yards,True,REY20,43,False,False,49,True,False,0,0,
REY25,True,,False,Every 25 receiving yards,True,REY25,44,False,False,50,True,False,0,0,
REY50,True,,False,Every 50 receiving yards,True,REY50,45,False,False,51,True,False,0,0,
RE100,True,,False,Every 100 receiving yards,True,RE100,46,False,False,52,True,False,0,0,
REC,True,receiving.receptions,False,Each reception,True,REC,47,False,False,53,True,False,0,0,
REC5,True,,False,Every 5 receptions,True,REC5,48,False,False,54,True,False,0,0,
REC10,True,,False,Every 10 receptions,True,REC10,49,False,False,55,True,False,0,0,
REY100,True,,False,100-199 yard receiving game,True,REY100,55,False,False,56,True,False,0,0,
REY200,True,,False,200+ yard receiving game,True,REY200,56,False,False,57,True,False,0,0,
RET,True,receiving.receivingTargets,False,Receiving Target,True,RET,57,False,False,58,True,False,0,0,
YAC,True,receiving.receivingYardsAfterCatch,False,Receiving Yards After Catch,False,YAC,160,False,False,59,True,False,0,0,
YPC,True,receiving.yardsPerReception,True,Receiving Yards Per Catch,False,YPC,161,False,False,60,False,False,0,0,"{'defaultInvalid': 0, 'derivedFromStats': {'a': 42, 'b': 41}, 'equation': 'a / b', 'invalidStatCheck': None, 'secondaryDefaultInvalid': None}"
REYPG,True,receiving.receivingYardsPerGame,True,Receiving Yards Per Game,False,REYPG,162,False,False,61,False,False,0,0,"{'defaultInvalid': 0, 'derivedFromStats': {'a': 42, 'b': 210}, 'equation': 'a / b', 'invalidStatCheck': None, 'secondaryDefaultInvalid': None}"
PTL,True,scoring.totalTwoPointConvs,False,Total 2pt Conversions,False,PTL,163,False,False,62,True,False,0,0,
FTD,True,general.offensiveFumblesTouchdowns,False,Fumble Recovered for TD,True,FTD,66,False,False,63,True,False,0,0,
SKD,True,passing.sacks,False,Sacked,True,SK,22,False,False,64,True,False,0,0,
PFUM,True,passing.passingFumbles,False,Passing Fumbles,False,PFUM,164,False,False,65,True,False,0,0,
RFUM,True,rushing.rushingFumbles,False,Rushing Fumbles,True,RFUM,165,False,False,66,True,False,0,0,
REFUM,True,receiving.receivingFumbles,False,Receiving Fumbles,False,REFUM,166,False,False,67,True,False,0,0,
FUM,True,general.fumbles,False,Total Fumbles,True,FUM,67,False,False,68,True,False,0,0,
PFUML,True,passing.passingFumblesLost,False,Passing Fumbles Lost,False,PFUML,167,True,False,69,True,False,0,0,
RFUML,True,rushing.rushingFumblesLost,False,Rushing Fumbles Lost,False,RFUML,168,True,False,70,True,False,0,0,
REFUML,True,receiving.receivingFumblesLost,False,Receiving Fumbles Lost,False,REFUML,169,True,False,71,True,False,0,0,
FUML,True,general.fumblesLost,False,Total Fumbles Lost,True,FUML,68,True,False,72,True,False,0,0,
TT,True,,False,Total Turnovers,False,TT,170,False,False,73,True,False,0,0,
FG50P,True,kicking.fieldGoalsMade50,False,FG Made (50+ yards),True,FG50,84,False,False,74,True,False,0,0,
FGA50P,True,kicking.fieldGoalAttempts50,False,FG Attempted (50+ yards),True,FGA50,171,False,False,75,True,False,0,0,
FGM50P,True,TODO,False,FG Missed (50+ yards),True,FGM50,172,False,False,76,True,False,0,0,
FG40,True,kicking.fieldGoalsMade40_49,False,FG Made (40-49 yards),True,FG40,83,False,False,77,True,False,0,0,
FGA40,True,kicking.fieldGoalAttempts40_49,False,FG Attempted (40-49 yards),True,FGA40,86,False,False,78,True,False,0,0,
FGM40,True,,False,FG Missed (40-49 yards),True,FGM40,89,False,False,79,True,False,0,0,
FG0,True,,False,FG Made (0-39 yards),True,FG0,82,False,False,80,True,False,0,0,
FGA0,True,,False,FG Attempted (0-39 yards),True,FGA0,85,False,False,81,True,False,0,0,
FGM0,True,,False,FG Missed (0-39 yards),True,FGM0,88,False,False,82,True,False,0,0,
FG,True,kicking.fieldGoalsMade,False,Total FG Made,True,FG,79,False,False,83,True,False,0,0,
FGA,True,kicking.fieldGoalAttempts,False,Total FG Attempted,True,FGA,80,False,False,84,True,False,0,0,
FGM,True,,False,Total FG Missed,True,FGM,81,False,False,85,True,False,0,0,
PAT,True,kicking.extraPointsMade,False,Each PAT Made,True,PAT,76,False,False,86,True,False,0,0,
PATA,True,kicking.extraPointAttempts,False,Each PAT Attempted,True,PATA,77,False,False,87,True,False,0,0,
PATM,True,,False,Each PAT Missed,True,PATM,78,False,False,88,True,False,0,0,
PA0,True,,False,0 points allowed,True,PA0,136,False,False,89,True,False,0,0,
PA1,True,,False,1-6 points allowed,True,PA1,137,False,False,90,True,False,0,0,
PA7,True,,False,7-13 points allowed,True,PA7,138,False,False,91,True,False,0,0,
PA14,True,,False,14-17 points allowed,True,PA14,139,False,False,92,True,False,0,0,
BLKKRTD,True,,False,Blocked Punt or FG return for TD,True,BLKKRTD,73,False,False,93,True,False,0,0,
DEFRETTD,True,,False,Fumble or INT Return for TD,True,DEFRETTD,173,False,False,94,True,False,0,0,
INT,True,defensiveInterceptions.interceptions,False,Each Interception,True,INT,113,False,False,95,True,False,0,0,
FR,True,returning.oppFumbleRecoveries,False,Each Fumble Recovered,True,FR,114,False,False,96,True,False,0,0,
BLKK,True,defensive.kicksBlocked,False,"Blocked Punt, PAT or FG",True,BLKK,112,False,False,97,True,False,0,0,
SF,True,defensive.safeties,False,Each Safety,True,SF,116,False,False,98,True,False,0,0,
SK,True,defensive.sacks,False,Each Sack,True,SK,107,False,False,99,True,False,0,0,
HALFSK,True,,False,1/2 Sack,True,HALFSK,108,False,False,100,True,False,0,0,
KRTD,True,returning.kickReturnTouchdowns,False,Kickoff Return TD,True,KRTD,64,False,False,101,True,False,0,0,
PRTD,True,returning.puntReturnTouchdowns,False,Punt Return TD,True,PRTD,65,False,False,102,True,False,0,0,
INTTD,True,defensiveInterceptions.interceptionTouchdowns,False,Interception Return TD,True,INTTD,71,False,False,103,True,False,0,0,
FRTD,True,general.defensiveFumblesTouchdowns,False,Fumble Return TD,True,FRTD,72,False,False,104,True,False,0,0,
TRTD,True,,False,Total Return TD,False,TRTD,174,False,False,105,True,False,0,0,
FF,True,general.fumblesForced,False,Each Fumble Forced,True,FF,115,False,False,106,True,False,0,0,
TKA,True,defensive.assistTackles,False,Assisted Tackles,True,TKA,117,False,False,107,True,False,0,0,
TKS,True,defensive.soloTackles,False,Solo Tackles,True,TKS,118,False,False,108,True,False,0,0,
TK,True,defensive.totalTackles,False,Total Tackles,True,TK,109,False,False,109,True,False,0,0,
TK3,True,,False,Every 3 Total Tackles,True,TK3,110,False,False,110,True,False,0,0,
TK5,True,,False,Every 5 Total Tackles,True,TK5,111,False,False,111,True,False,0,0,
STF,True,defensive.stuffs,False,Stuffs,True,ST,119,False,False,112,True,False,0,0,
PD,True,defensive.passesDefended,False,Passes Defensed,True,PD,120,False,False,113,True,False,0,0,
KR,True,returning.kickReturnYards,False,Kickoff Return Yards,True,KR,58,False,False,114,True,False,0,0,
PR,True,returning.puntReturnYards,False,Punt Return Yards,True,PR,61,False,False,115,True,False,0,0,
KR10,True,,False,Every 10 kickoff return yards,True,KR10,59,False,False,116,True,False,0,0,
KR25,True,,False,Every 25 kickoff return yards,True,KR25,60,False,False,117,True,False,0,0,
PR10,True,,False,Every 10 punt return yards,True,PR10,62,False,False,118,True,False,0,0,
PR25,True,,False,Every 25 punt return yards,True,PR25,63,False,False,119,True,False,0,0,
PTSA,True,,False,Points Allowed,True,PA,135,True,False,120,True,False,0,0,
PA18,True,,False,18-21 points allowed,True,PA18,140,False,False,121,True,False,0,0,
PA22,True,,False,22-27 points allowed,True,PA22,141,False,False,122,True,False,0,0,
PA28,True,,False,28-34 points allowed,True,PA28,142,False,False,123,True,False,0,0,
PA35,True,,False,35-45 points allowed,True,PA35,143,False,False,124,True,False,0,0,
PA46,True,,False,46+ points allowed,True,PA46,144,False,False,125,True,False,0,0,
PAPG,True,,True,Points Allowed Per Game,False,PAPG,175,False,False,126,False,False,0,0,"{'defaultInvalid': 0, 'derivedFromStats': {'a': 120, 'b': 210}, 'equation': 'a / b', 'invalidStatCheck': None, 'secondaryDefaultInvalid': None}"
YA,True,,False,Yards Allowed,True,YA,145,False,False,127,True,False,0,0,
YA100,True,,False,Less than 100 total yards allowed,True,YA100,146,False,False,128,True,False,0,0,
YA199,True,,False,100-199 total yards allowed,True,YA199,147,False,False,129,True,False,0,0,
YA299,True,,False,200-299 total yards allowed,True,YA299,148,False,False,130,True,False,0,0,
YA349,True,,False,300-349 total yards allowed,True,YA349,149,False,False,131,True,False,0,0,
YA399,True,,False,350-399 total yards allowed,True,YA399,150,False,False,132,True,False,0,0,
YA449,True,,False,400-449 total yards allowed,True,YA449,151,False,False,133,True,False,0,0,
YA499,True,,False,450-499 total yards allowed,True,YA499,152,False,False,134,True,False,0,0,
YA549,True,,False,500-549 total yards allowed,True,YA549,153,False,False,135,True,False,0,0,
YA550,True,,False,550+ total yards allowed,True,YA550,154,False,False,136,True,False,0,0,
YAPG,True,,True,Yards Allowed Per Game,False,YAPG,176,False,False,137,False,False,0,0,"{'defaultInvalid': 0, 'derivedFromStats': {'a': 127, 'b': 210}, 'equation': 'a / b', 'invalidStatCheck': None, 'secondaryDefaultInvalid': None}"
PT,True,punting.punts,False,Net Punts,True,PT,91,False,False,138,True,False,0,0,
PTY,True,punting.puntYards,False,Punt Yards,True,PTY,92,False,False,139,True,False,0,0,
PT10,True,punting.puntsInside10,False,Punts Inside the 10,True,PT10,93,False,False,140,True,False,0,0,
PT20,True,punting.puntsInside20,False,Punts Inside the 20,True,PT20,94,False,False,141,True,False,0,0,
PTB,True,punting.puntsBlocked,False,Blocked Punts,True,PTB,95,False,False,142,True,False,0,0,
PTR,True,punting.puntReturns,False,Punts Returned,True,PTR,96,False,False,143,True,False,0,0,
PTRY,True,punting.puntReturnYards,False,Punt Return Yards,True,PTRY,97,False,False,144,True,False,0,0,
PTTB,True,punting.touchbacks,False,Touchbacks,True,PTTB,98,False,False,145,True,False,0,0,
PTFC,True,punting.fairCatches,False,Fair Catches,True,PTFC,99,False,False,146,True,False,0,0,
PTAVG,True,punting.grossAvgPuntYards,True,Punt Average,False,PTAVG,177,False,False,147,False,False,0,0,"{'defaultInvalid': 0, 'derivedFromStats': {'a': 139, 'b': 138}, 'equation': 'a / b', 'invalidStatCheck': None, 'secondaryDefaultInvalid': None}"
PTA44,True,,False,Punt Average 44.0+,True,PTA44,100,False,False,148,True,False,0,0,
PTA42,True,,False,Punt Average 42.0-43.9,True,PTA42,101,False,False,149,True,False,0,0,
PTA40,True,,False,Punt Average 40.0-41.9,True,PTA40,102,False,False,150,True,False,0,0,
PTA38,True,,False,Punt Average 38.0-39.9,True,PTA38,103,False,False,151,True,False,0,0,
PTA36,True,,False,Punt Average 36.0-37.9,True,PTA36,104,False,False,152,True,False,0,0,
PTA34,True,,False,Punt Average 34.0-35.9,True,PTA34,105,False,False,153,True,False,0,0,
PTA33,True,,False,Punt Average 33.9 or less,True,PTA33,106,False,False,154,True,False,0,0,
TW,True,,False,Team Win,True,TW,69,False,False,155,True,False,0,0,
TL,True,,False,Team Loss,True,TL,70,True,False,156,True,False,0,0,
TIE,True,,False,Team Tie,True,TIE,121,False,False,157,True,False,0,0,
PTS,True,scoring.totalPoints,False,Points Scored,True,PTS,122,False,False,158,True,False,0,0,
PPG,True,,True,Points Scored Per Game,False,PPG,178,False,False,159,False,False,0,0,"{'defaultInvalid': 0, 'derivedFromStats': {'a': 158, 'b': 210}, 'equation': 'a / b', 'invalidStatCheck': None, 'secondaryDefaultInvalid': None}"
MGN,True,,False,Margin of Victory,False,MGN,179,False,False,160,True,False,0,0,
WM25,True,,False,25+ point Win Margin,True,WM25,123,False,False,161,True,False,0,0,
WM20,True,,False,20-24 point Win Margin,True,WM20,124,False,False,162,True,False,0,0,
WM15,True,,False,15-19 point Win Margin,True,WM15,125,False,False,163,True,False,0,0,
WM10,True,,False,10-14 point Win Margin,True,WM10,126,False,False,164,True,False,0,0,
WM5,True,,False,5-9 point Win Margin,True,WM5,127,False,False,165,True,False,0,0,
WM1,True,,False,1-4 point Win Margin,True,WM1,128,False,False,166,True,False,0,0,
LM1,True,,False,1-4 point Loss Margin,True,LM1,129,False,False,167,True,False,0,0,
LM5,True,,False,5-9 point Loss Margin,True,LM5,130,False,False,168,True,False,0,0,
LM10,True,,False,10-14 point Loss Margin,True,LM10,131,False,False,169,True,False,0,0,
LM15,True,,False,15-19 point Loss Margin,True,LM15,132,False,False,170,True,False,0,0,
LM20,True,,False,20-24 point Loss Margin,True,LM20,133,False,False,171,True,False,0,0,
LM25,True,,False,25+ point Loss Margin,True,LM25,134,False,False,172,True,False,0,0,
MGNPG,True,,True,Margin of Victory Per Game,False,MGNPG,180,False,False,173,False,False,0,0,"{'defaultInvalid': 0, 'derivedFromStats': {'a': 160, 'b': 210}, 'equation': 'a / b', 'invalidStatCheck': None, 'secondaryDefaultInvalid': None}"
WINPCT,True,,True,Winning Pct,False,WINPCT,181,False,False,174,False,False,0,0,"{'defaultInvalid': 0, 'derivedFromStats': {'a': 155, 'b': 210}, 'equation': 'a / b', 'invalidStatCheck': None, 'secondaryDefaultInvalid': None}"
PTD0,True,scoring.passingTouchdownsOf0to9Yds,False,0-9 yd TD pass bonus,False,PTD0,182,False,False,175,True,False,0,0,
PTD10,True,scoring.passingTouchdownsOf10to19Yds,False,10-19 yd TD pass bonus,False,PTD10,183,False,False,176,True,False,0,0,
PTD20,True,scoring.passingTouchdownsOf20to29Yds,False,20-29 yd TD pass bonus,False,PTD20,184,False,False,177,True,False,0,0,
PTD30,True,scoring.passingTouchdownsOf30to39Yds,False,30-39 yd TD pass bonus,False,PTD30,185,False,False,178,True,False,0,0,
RTD0,True,scoring.rushingTouchdownsOf0to9Yds,False,0-9 yd TD rush bonus,False,RTD0,186,False,False,179,True,False,0,0,
RTD10,True,scoring.rushingTouchdownsOf10to19Yds,False,10-19 yd TD rush bonus,False,RTD10,187,False,False,180,True,False,0,0,
RTD20,True,scoring.rushingTouchdownsOf20to29Yds,False,20-29 yd TD rush bonus,False,RTD20,188,False,False,181,True,False,0,0,
RTD30,True,scoring.rushingTouchdownsOf30to39Yds,False,30-39 yd TD rush bonus,False,RTD30,189,False,False,182,True,False,0,0,
RETD0,True,scoring.receivingTouchdownsOf0to9Yds,False,0-9 yd TD rec bonus,False,RETD0,190,False,False,183,True,False,0,0,
RETD10,True,scoring.receivingTouchdownsOf10to19Yds,False,10-19 yd TD rec bonus,False,RETD10,191,False,False,184,True,False,0,0,
RETD20,True,scoring.receivingTouchdownsOf20to29Yds,False,20-29 yd TD rec bonus,False,RETD20,192,False,False,185,True,False,0,0,
RETD30,True,scoring.receivingTouchdownsOf30to39Yds,False,30-39 yd TD rec bonus,False,RETD30,193,False,False,186,True,False,0,0,
DPTSA,True,,False,D/ST Points Allowed,True,DPTSA,194,False,False,187,True,False,0,0,
DPA0,True,,False,D/ST 0 points allowed,True,DPA0,195,False,False,188,True,False,0,0,
DPA1,True,,False,D/ST 1-6 points allowed,True,DPA1,196,False,False,189,True,False,0,0,
DPA7,True,,False,D/ST 7-13 points allowed,True,DPA7,197,False,False,190,True,False,0,0,
DPA14,True,,False,D/ST 14-17 points allowed,True,DPA14,198,False,False,191,True,False,0,0,
DPA18,True,,False,D/ST 18-21 points allowed,True,DPA18,199,False,False,192,True,False,0,0,
DPA22,True,,False,D/ST 22-27 points allowed,True,DPA22,200,False,False,193,True,False,0,0,
DPA28,True,,False,D/ST 28-34 points allowed,True,DPA28,201,False,False,194,True,False,0,0,
DPA35,True,,False,D/ST 35-45 points allowed,True,DPA35,202,False,False,195,True,False,0,0,
DPA46,True,,False,D/ST 46+ points allowed,True,DPA46,203,False,False,196,True,False,0,0,
DPAPG,True,,True,D/ST Points Allowed Per Game,False,DPAPG,204,False,False,197,False,False,0,0,"{'defaultInvalid': 0, 'derivedFromStats': {'a': 187, 'b': 210}, 'equation': 'a / b', 'invalidStatCheck': None, 'secondaryDefaultInvalid': None}"
FG50,True,kicking.fieldGoalsMade50_59,False,FG Made (50-59 yards),True,FG50,205,False,False,198,True,False,0,0,
FGA50,True,kicking.fieldGoalAttempts50_59,False,FG Attempted (50-59 yards),True,FGA50,87,False,False,199,True,False,0,0,
FGM50,True,,False,FG Missed (50-59 yards),True,FGM50,90,False,False,200,True,False,0,0,
FG60,True,kicking.fieldGoalsMade60_99,False,FG Made (60+ yards),True,FG60,206,False,False,201,True,False,0,0,
FGA60,True,kicking.fieldGoalAttempts60_99,False,FG Attempted (60+ yards),True,FGA60,207,False,False,202,True,False,0,0,
FGM60,True,,False,FG Missed (60+ yards),True,FGM60,208,False,False,203,True,False,0,0,
O2PRET,True,general.offensiveTwoPtReturns,False,Offensive 2pt Return,False,O2PTRET,209,False,False,204,True,False,0,0,
D2PRET,True,defensive.twoPtReturns,False,Defensive 2pt Return,True,D2PTRET,210,False,False,205,True,False,0,0,
2PRET,True,,False,2pt Return,True,2PTRET,74,False,False,206,True,False,0,0,
O1PSF,True,TODO,False,Offensive 1pt Safety,False,O1PSF,211,False,False,207,True,False,0,0,
D1PSF,True,TODO,False,Defensive 1pt Safety,False,D1PSF,212,False,False,208,True,False,0,0,
1PSF,True,TODO,False,1pt Safety,True,1PSF,75,False,False,209,True,False,0,0,
GP,True,general.gamesPlayed,False,Games Played,False,GP,213,False,True,210,True,False,0,0,
PFD,True,passing.passingFirstDowns,False,Passing First Down,True,PFD,17,False,False,211,True,False,0,0,
RFD,True,rushing.rushingFirstDowns,False,Rushing First Down,True,RFD,36,False,False,212,True,False,0,0,
REFD,True,receiving.receivingFirstDowns,False,Receiving First Down,True,REFD,53,False,False,213,True,False,0,0,
FGY,True,kicking.fieldGoalsMadeYards,False,FG Made Yards,True,FGY,214,False,False,214,True,False,0,0,
FGMY,True,kicking.fieldGoalsMissedYards,False,FG Missed Yards,True,FGMY,215,False,False,215,True,False,0,0,
FGAY,True,kicking.fieldGoalAttemptYards,False,FG Attempt Yards,True,FGAY,216,False,False,216,True,False,0,0,
FGY5,True,,False,Every 5 FG Made yards,True,FGY5,217,False,False,217,True,False,0,0,
FGY10,True,,False,Every 10 FG Made yards,True,FGY10,218,False,False,218,True,False,0,0,
FGY20,True,,False,Every 20 FG Made yards,True,FGY20,219,False,False,219,True,False,0,0,
FGY25,True,,False,Every 25 FG Made yards,True,FGY25,220,False,False,220,True,False,0,0,
FGY50,True,,False,Every 50 FG Made yards,True,FGY50,221,False,False,221,True,False,0,0,
FGY100,True,,False,Every 100 FG Made yards,True,FGY100,222,False,False,222,True,False,0,0,
FGMY5,True,,False,Every 5 FG Missed yards,True,FGMY5,223,False,False,223,True,False,0,0,
FGMY10,True,,False,Every 10 FG Missed yards,True,FGMY10,224,False,False,224,True,False,0,0,
FGMY20,True,,False,Every 20 FG Missed yards,True,FGMY20,225,False,False,225,True,False,0,0,
FGMY25,True,,False,Every 25 FG Missed yards,True,FGMY25,226,False,False,226,True,False,0,0,
FGMY50,True,,False,Every 50 FG Missed yards,True,FGMY50,227,False,False,227,True,False,0,0,
FGMY100,True,,False,Every 100 FG Missed yards,True,FGMY100,228,False,False,228,True,False,0,0,
FGAY5,True,,False,Every 5 FG Attempt yards,True,FGAY5,229,False,False,229,True,False,0,0,
FGAY10,True,,False,Every 10 FG Attempt yards,True,FGAY10,230,False,False,230,True,False,0,0,
FGAY20,True,,False,Every 20 FG Attempt yards,True,FGAY20,231,False,False,231,True,False,0,0,
FGAY25,True,,False,Every 25 FG Attempt yards,True,FGAY25,232,False,False,232,True,False,0,0,
FGAY50,True,,False,Every 50 FG Attempt yards,True,FGAY50,233,False,False,233,True,False,0,0,
FGAY100,True,,False,Every 100 FG Attempt yards,True,FGAY100,234,False,False,234,True,False,0,0,
